Aktivitet,Aktivitetnavn,Tollerance,MaxAfvigelse,Hovedaktivitet på,Følgeudgift på ,Kle nr.,SBSYS id,Hovedaktivitet,Hovedaktivitetsnavn,Kont1,Konto2,Konto3,Kontering,PGF betegnelse,Helle,Kolonne1,Leif
015014,Hjemmetræning,10%,5000,SEL-32-a,,27.18.02,920,, ,557721016,,,557721016-,SEL-32-a Hjemmetræning,,,
015026,Praktikophold,10%,5000,SEL-52-3.8,,27.27.51,896,, ,582211009,,10070,582211009-10070,SEL-52-3.8 Praktiktilbud samt udbetaling af godtgørelse,,,
015002,"Anden hjælp efter § 52,3,9",10%,5000,SEL-52-3.9,,27.27.54,884,, ,582211010,,,582211010-,SEL-52-3.9 Anden hjælp,,,
015003,Anden støtte,10%,5000,SEL-76-3.4,,27.24.00,891,, ,582211010,,,582211010-,"SEL-76-3.4 Unge anbragt op til det 18. år, der fortsat har behov for støtte",,,
015019,Kost- og efterskoler,10%,5000,SEL-52-a.1.1,,27.24.09,1591,, ,582211011,,010039,582211011-010039,SEL-52-a.1.1 Økonomisk støtte i forbindelse med §52 s,,,
015019,Kost- og efterskoler,10%,5000,SEL-52-a.1.2,,27.24.09,1593,, ,582211011,,010039,582211011-010039,SEL-52-a.1.2 Udgifter til at undgå anbringelse og fremskynde hjemgivelse,,,
015017,Kontaktperson,10%,5000,,,27.24.09,,, ,582211011,,010046,582211011-010046,#N/A,,,
015032,Støtte til forældremyndighedsindehaveren efter § 52a og § 52,10%,5000,SEL-52-a.1.1,,27.24.09,1590,, ,582211011,,010068,582211011-010068,SEL-52-a.1.1 Økonomisk støtte i forbindelse med §52 s,,,
015032,Støtte til forældremyndighedsindehaveren efter § 52a og § 52,10%,5000,,,27.24.09,,, ,582211011,,010068,582211011-010068,#N/A,,,
015032,Støtte til forældremyndighedsindehaveren efter § 52a og § 52,10%,5000,SEL-52-a.1.3,,27.24.09,1594,, ,582211011,,010068,582211011-010068,SEL-52-a.1.3 Stabil kontakt mellem forældre og børn under anbringelsen,,,
015166,Støtte til forhindring af anbringelse,10%,5000,SEL-52-a.1.2,,27.24.09,1592,, ,582211011,,010081,582211011-010081,SEL-52-a.1.2 Udgifter til at undgå anbringelse og fremskynde hjemgivelse,,,
015124,"Familierådgivning, forebyggende",10%,5000,,,27.24.09,,, ,582211011,,010082,582211011-010082,#N/A,,,
015104,Aktiviteter,10%,5000,,,,,, ,582211011,,,582211011-,#N/A,,,
015146,Lønkompensation,10%,5000,,,27.24.09,,, ,582211011,,,582211011-,#N/A,,,
015146,Lønkompensation,10%,5000,,,27.24.09,,, ,582211011,,,582211011-,#N/A,,,
015032,Støtte til forældremyndighedsindehaveren efter § 52a og § 52,10%,5000,SEL-54-1,,27.24.15,903,, ,582211013,,10068,582211013-10068,SEL-54-1 Støtteperson til forældremyndighedsindeh,,,
015024,Ophold i dagtilbud,10%,5000,SEL-52-3.1,,27.27.03,899,, ,PPR betaler ,,,PPR betaler -,"SEL-52-3.1 Ophold i dagtilbud, fritidshjem, ungdoms",snak med Camilla,snak med andre kommune,
015013,Genoptræning (vedligeholdelsestræning),,,SEL-86,,27.36.16,918,,,snak med Camilla,,,snak med Camilla-,SEL-86 Genoptræning (vedligeholdelsestræning),,,
015144,Kørsel i egen bil,10%,5000,,SEL-44-jfr. §84,,,015001,Afløsning  i hjemmet,,528211005,010009,528211005-010009,"SEL-44-jfr. §84 Aflastning, børn og unge jf. SEL §84.1",,,
015144,Kørsel i egen bil,,,,SEL-52-3.9,,,015002,"Anden hjælp efter § 52,3,9",,528211010,010009,528211010-010009,SEL-52-3.9 Anden hjælp,,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.3,,,015006,Dagbehandlingstilbud,,645511002,010009,645511002-010009,SEL-52-3.3 Familiebehandling eller lignende,,,
015144,Kørsel i egen bil,10%,5000,,SEL-44-jfr. §84,,,015007,Døgninstitutioner vedr. nedsat funktionsevne,,528211005,010009,528211005-010009,"SEL-44-jfr. §84 Aflastning, børn og unge jf. SEL §84.1",,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.5,,,015007,Døgninstitutioner vedr. nedsat funktionsevne,,528211005,010009,528211005-010009,SEL-52-3.5 Aflastningsordning,,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.7,,,015007,Døgninstitutioner vedr. nedsat funktionsevne,,528231001,010009,528231001-010009,SEL-52-3.7 Anbringelse udenfor hjemmet,,,
015144,Kørsel i egen bil,10%,5000,,SEL-58-jf 52-3.7,,,015007,Døgninstitutioner vedr. nedsat funktionsevne,,528231001,010009,528231001-010009,SEL-58-jf 52-3.7 Anbringelse uden samtykke fra forældrene,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-3.1,,,015007,Døgninstitutioner vedr. nedsat funktionsevne,,528231001,010009,528231001-010009,SEL-76-3.1 Døgnophold 18-22 årige,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-3.3,,,015007,Døgninstitutioner vedr. nedsat funktionsevne,,528231001,010009,528231001-010009,SEL-76-3.3 Udslusningsophold 18-22 årige,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-8,,,015007,Døgninstitutioner vedr. nedsat funktionsevne,,528231001,010009,528231001-010009,SEL-76-8 Tilbagevenden til anbringelsessted,,,
015144,Kørsel i egen bil,10%,5000,,SEL-44-jfr. §84,,,015008,Døgninstitutioner vedr. sociale adfærdsproblemer,,528211005,010009,528211005-010009,"SEL-44-jfr. §84 Aflastning, børn og unge jf. SEL §84.1",,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.5,,,015008,Døgninstitutioner vedr. sociale adfærdsproblemer,,528211005,010009,528211005-010009,SEL-52-3.5 Aflastningsordning,,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.7,,,015008,Døgninstitutioner vedr. sociale adfærdsproblemer,,528231002,010009,528231002-010009,SEL-52-3.7 Anbringelse udenfor hjemmet,,,
015144,Kørsel i egen bil,10%,5000,,SEL-58-jf 52-3.7,,,015008,Døgninstitutioner vedr. sociale adfærdsproblemer,,528231002,010009,528231002-010009,SEL-58-jf 52-3.7 Anbringelse uden samtykke fra forældrene,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-3.1,,,015008,Døgninstitutioner vedr. sociale adfærdsproblemer,,528231002,010009,528231002-010009,SEL-76-3.1 Døgnophold 18-22 årige,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-3.3,,,015008,Døgninstitutioner vedr. sociale adfærdsproblemer,,528231002,010009,528231002-010009,SEL-76-3.3 Udslusningsophold 18-22 årige,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-8,,,015008,Døgninstitutioner vedr. sociale adfærdsproblemer,,528231002,010009,528231002-010009,SEL-76-8 Tilbagevenden til anbringelsessted,,,
015144,Kørsel i egen bil,,,,SEL-52-3.4,,,015009,Døgnophold for familien,,528211004,010009,528211004-010009,SEL-52-3.4 Døgnophold for hele familien,,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.7,,,015010,Eget værelse,,528201005,010009,528201005-010009,SEL-52-3.7 Anbringelse udenfor hjemmet,,,
015144,Kørsel i egen bil,10%,5000,,SEL-58-jf 52-3.7,,,015010,Eget værelse,,528201005,010009,528201005-010009,SEL-58-jf 52-3.7 Anbringelse uden samtykke fra forældrene,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-3.1,,,015010,Eget værelse,,528201005,010009,528201005-010009,SEL-76-3.1 Døgnophold 18-22 årige,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-3.3,,,015010,Eget værelse,,528201005,010009,528201005-010009,SEL-76-3.3 Udslusningsophold 18-22 årige,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-8,,,015010,Eget værelse,,528201005,010009,528201005-010009,SEL-76-8 Tilbagevenden til anbringelsessted,,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.3,,,015011,Familiebehandling,,528211003,010009,528211003-010009,SEL-52-3.3 Familiebehandling eller lignende,,,
015144,Kørsel i egen bil,10%,5000,,SEL-44-jfr. §84,,,015015,"Kommunale plejefamilier, vederlag",,528211005,010009,528211005-010009,"SEL-44-jfr. §84 Aflastning, børn og unge jf. SEL §84.1",,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.4,,,015015,"Kommunale plejefamilier, vederlag",,528211004,010009,528211004-010009,SEL-52-3.4 Døgnophold for hele familien,,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.5,,,015015,"Kommunale plejefamilier, vederlag",,528211005,010009,528211005-010009,SEL-52-3.5 Aflastningsordning,,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.7,,,015015,"Kommunale plejefamilier, vederlag",,528221003,010009,528221003-010009,SEL-52-3.7 Anbringelse udenfor hjemmet,,,
015144,Kørsel i egen bil,10%,5000,,SEL-58-jf 52-3.7,,,015015,"Kommunale plejefamilier, vederlag",,528221003,010009,528221003-010009,SEL-58-jf 52-3.7 Anbringelse uden samtykke fra forældrene,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-3.1,,,015015,"Kommunale plejefamilier, vederlag",,528221003,010009,528221003-010009,SEL-76-3.1 Døgnophold 18-22 årige,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-3.3,,,015015,"Kommunale plejefamilier, vederlag",,528221003,010009,528221003-010009,SEL-76-3.3 Udslusningsophold 18-22 årige,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-8,,,015015,"Kommunale plejefamilier, vederlag",,528221003,010009,528221003-010009,SEL-76-8 Tilbagevenden til anbringelsessted,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-a,,,015015,"Kommunale plejefamilier, vederlag",,528221003,010009,528221003-010009,SEL-76-a Opretholdelse af anbringelse i plejefamilie ud over det 18. år for unge,,,
015144,Kørsel i egen bil,,,,SEL-52-3.6,,,015017,Kontaktperson,,528211007,010009,528211007-010009,SEL-52-3.6 Kontaktperson til barnet/den unge/familien,,,
015144,Kørsel i egen bil,,,,SEL-76-2,,,015017,Kontaktperson,,528211007,010009,528211007-010009,SEL-76-2 Efterværn / kontaktperson 18-22 årige,,,
015144,Kørsel i egen bil,,,,SEL-76-3.2,,,015017,Kontaktperson,,528211007,010009,528211007-010009,SEL-76-3.2 Fast kontaktperson 18-22 årige,,,
015144,Kørsel i egen bil,,,,SEL-76-5,,,015017,Kontaktperson,,528211007,010009,528211007-010009,SEL-76-5 Fast kontaktperson 18-22 årige for tidligere tvangsanbragte,,,
015144,Kørsel i egen bil,,,,SEL-76-6,,,015017,Kontaktperson,,528211007,010009,528211007-010009,SEL-76-6 Kontaktperson 18-årige - for tidligere anbragte,,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.6,,,015018,Kontaktperson for hele familien,,528211008,010009,528211008-010009,SEL-52-3.6 Kontaktperson til barnet/den unge/familien,,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.7,,,015019,Kost- og efterskoler,,528201004,010009,528201004-010009,SEL-52-3.7 Anbringelse udenfor hjemmet,,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-a.1.1,,,015019,Kost- og efterskoler,,528211011,010009,528211011-010009,SEL-52-a.1.1 Økonomisk støtte i forbindelse med §52 s,,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-a.1.2,,,015019,Kost- og efterskoler,,528211011,010009,528211011-010009,SEL-52-a.1.2 Udgifter til at undgå anbringelse og fremskynde hjemgivelse,,,
015144,Kørsel i egen bil,10%,5000,,SEL-58-jf 52-3.7,,,015019,Kost- og efterskoler,,528201004,010009,528201004-010009,SEL-58-jf 52-3.7 Anbringelse uden samtykke fra forældrene,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-3.1,,,015019,Kost- og efterskoler,,528201004,010009,528201004-010009,SEL-76-3.1 Døgnophold 18-22 årige,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-3.3,,,015019,Kost- og efterskoler,,528201004,010009,528201004-010009,SEL-76-3.3 Udslusningsophold 18-22 årige,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-8,,,015019,Kost- og efterskoler,,528201004,010009,528201004-010009,SEL-76-8 Tilbagevenden til anbringelsessted,,,
015144,Kørsel i egen bil,10%,5000,,SEL-44-jfr. §84,,,015023,Netværksplejefamilier,,528211005,010009,528211005-010009,"SEL-44-jfr. §84 Aflastning, børn og unge jf. SEL §84.1",,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.5,,,015023,Netværksplejefamilier,,528211005,010009,528211005-010009,SEL-52-3.5 Aflastningsordning,,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.7,,,015023,Netværksplejefamilier,,528221005,010009,528221005-010009,SEL-52-3.7 Anbringelse udenfor hjemmet,,,
015144,Kørsel i egen bil,10%,5000,,SEL-58-jf 52-3.7,,,015023,Netværksplejefamilier,,528221005,010009,528221005-010009,SEL-58-jf 52-3.7 Anbringelse uden samtykke fra forældrene,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-3.1,,,015023,Netværksplejefamilier,,528221005,010009,528221005-010009,SEL-76-3.1 Døgnophold 18-22 årige,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-3.3,,,015023,Netværksplejefamilier,,528221005,010009,528221005-010009,SEL-76-3.3 Udslusningsophold 18-22 årige,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-8,,,015023,Netværksplejefamilier,,528221005,010009,528221005-010009,SEL-76-8 Tilbagevenden til anbringelsessted,,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.1,,,015024,Ophold i dagtilbud,,PPR,010009,PPR-010009,"SEL-52-3.1 Ophold i dagtilbud, fritidshjem, ungdoms",,,
015144,Kørsel i egen bil,10%,5000,,SEL-44-jfr. §84,,,015025,"Plejefamilier, vederlag",,528211005,010009,528211005-010009,"SEL-44-jfr. §84 Aflastning, børn og unge jf. SEL §84.1",,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.4,,,015025,"Plejefamilier, vederlag",,528211004,010009,528211004-010009,SEL-52-3.4 Døgnophold for hele familien,,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.5,,,015025,"Plejefamilier, vederlag",,528211005,010009,528211005-010009,SEL-52-3.5 Aflastningsordning,,,
015144,Kørsel i egen bil,10%,5000,,SEL-52-3.7,,,015025,"Plejefamilier, vederlag",,528221001,010009,528221001-010009,SEL-52-3.7 Anbringelse udenfor hjemmet,,,
015144,Kørsel i egen bil,10%,5000,,SEL-58-jf 52-3.7,,,015025,"Plejefamilier, vederlag",,528221001,010009,528221001-010009,SEL-58-jf 52-3.7 Anbringelse uden samtykke fra forældrene,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-3.1,,,015025,"Plejefamilier, vederlag",,528221001,010009,528221001-010009,SEL-76-3.1 Døgnophold 18-22 årige,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-3.3,,,015025,"Plejefamilier, vederlag",,528221001,010009,528221001-010009,SEL-76-3.3 Udslusningsophold 18-22 årige,,,
015144,Kørsel i egen bil,10%,5000,,SEL-76-8,,,015025,"Plejefamilier, vederlag",,528221001,010009,528221001-010009,SEL-76-8 Tilbagevenden til anbringelsessted,,,
